filename,Gletscher,1850F,L1850,1973F,L1973,1985,1999F,L2000,L2001,L2002,L2003,L2004,L2005,L2006,L2007,L2008,L2009,L2010,L2011,L2012,L2013
,Fläche,Länge,Fläche,Länge,Länge,Fläche,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge
,km2,km,km2,km,km,km2,km,km,km,km,km,km,km,km,km,km,km,km,km,km
suretta.csv,Suretta,1.5 ,2.5 ,1.1 ,1.6 ,1.7 ,0.8 ,1.5 ,1.6 ,1.5 ,1.5 ,1.5 ,1.4 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7
calderas.csv,Calderas,1.6 ,2.7 ,1.2 ,1.8 ,1.7 ,0.7 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.4 ,1.4 ,1.4 ,1.4 ,1.3 ,1.3 ,1.3 ,1.2 ,1.2
basodino.csv,Basòdino,4.1 ,2.8 ,2.3 ,1.5 ,1.6 ,2.2 ,1.5 ,1.5 ,1.5 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.3 ,1.3 ,
griess.csv,Griess,1.7 ,3.2 ,0.9 ,1.6 ,1.5 ,0.8 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,
lavaz.csv,Lavaz,3.2 ,3.3 ,1.8 ,2.1 ,2.0 ,0.8 ,  ,  ,  ,  ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.2 ,1.2 ,1.2
plattalva.csv,Plattalva,  ,  ,0.7 ,1.4 ,1.4 ,0.4 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.3 ,1.2 ,1.2 ,1.2 ,1.2 ,1.2 ,1.1 ,1.1 ,1.1
griessen.csv,Griessen,2.8 ,2.1 ,1.3 ,1.2 ,1.2 ,1.0 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1
punteglias.csv,Punteglias,3.0 ,2.2 ,1.0 ,1.5 ,1.3 ,,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.1 ,1.0 ,1.0 ,1.0
sesvenna.csv,Sesvenna,1.5 ,1.7 ,0.8 ,1.2 ,1.2 ,0.5 ,1.1 ,1.1 ,1.1 ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,0.9 ,0.9 ,0.9
paradisino.csv,Paradisino (Campo),0.7 ,1.5 ,0.5 ,1.1 ,1.1 ,0.3 ,1.1 ,1.1 ,1.1 ,1.0 ,1.0 ,1.0 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9
mutt.csv,Mutt,0.9 ,1.8 ,0.6 ,1.0 ,1.1 ,0.4 ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,0.9 ,0.9 ,0.9 ,  ,0.9 ,0.9 ,
bresciana.csv,Bresciana,1.8 ,2.5 ,0.8 ,1.1 ,1.2 ,0.6 ,0.9 ,0.9 ,0.9 ,0.9 ,0.8 ,0.8 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,,
paneyrosse.csv,Paneyrosse,0.9 ,1.8 ,0.5 ,0.9 ,1.0 ,0.3 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9
firnalpeli.csv,Firnalpeli (Ost),1.2 ,1.1 ,0.9 ,0.9 ,1.0 ,0.7 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,
sexrouge.csv,Sex Rouge,0.9 ,1.4 ,0.7 ,0.9 ,0.9 ,0.4 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,0.9 ,
valleggia.csv,Valleggia,0.8 ,1.2 ,0.6 ,0.9 ,0.9 ,0.4 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,
lischana.csv,Lischana,0.5 ,1.3 ,0.2 ,0.9 ,0.9 ,0.1 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.8 ,0.7 ,0.7 ,0.7 ,0.7 ,  ,0.7 ,0.7 ,0.7
corno.csv,Corno,0.8 ,1.8 ,0.3 ,0.6 ,0.9 ,0.2 ,0.8 ,0.8 ,0.8 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,0.7 ,
